ID,Latitude,Longitude,SourceID
1,45-04-28.2N,067-05-40.4W,International Boundary Commission
2,44-57-14.1N,067-01-18.0W,International Boundary Commission
3,44-56-41.1N,067-00-36.0W,International Boundary Commission
4,44-55-42.1N,066-59-48.7W,International Boundary Commission
5,44-54-37.4N,066-58-07.4W,International Boundary Commission
6,44-53-41.2N,066-58-20.0W,International Boundary Commission
7,44-52-38.8N,066-58-48.0W,International Boundary Commission
8,44-52-02.1N,066-58-55.7W,International Boundary Commission
9,44-51-37.7N,066-58-50.6W,International Boundary Commission
10,44-51-03.5N,066-58-29.2W,International Boundary Commission
11,44-50-29.8N,066-58-29.5W,International Boundary Commission
12,44-49-43.9N,066-57-55.1W,International Boundary Commission
13,44-49-31.8N,066-55-57.3W,International Boundary Commission
14,44-47-39.1N,066-53-07.5W,International Boundary Commission
15,44-46-35.6N,066-54-09.2W,International Boundary Commission
16,44-44-41.28928N,066-56-14.91394W,Federal Register 1995
17,44-43-56.28975N,066-56-23.91398W,Federal Register 1995
18,44-39-18.29254N,066-57-26.91430W,Federal Register 1995
19,44-36-58.29443N,067-00-33.92369W,Federal Register 1995
20,44-33-27.29445N,067-02-54.92347W,Federal Register 1995
21,44-30-38.29574N,067-02-35.91950W,Federal Register 1995
22,44-29-03.29626N,067-03-39.91977W,Federal Register 1995
23,44-25-27.29951N,067-02-13.91317W,Federal Register 1995
24,44-21-43.30217N,067-02-30.90974W,Federal Register 1995
25,44-14-06.30643N,067-08-35.91433W,Federal Register 1995
26,44-11-12.30722N,67-16-43.92803W,Federal Register 1995
27,42-53-14.37460N,67-44-32.92470W,Federal Register 1995
28,42-31-08.40140N,67-28-02.86488W,Federal Register 1995
29,40-27-05.55898N,65-41-56.48998W,Federal Register 1995
30,40-27-07.46167N,65-41-58.05688W,200 NM from Baseline
31,40-26-19.98805N,65-42-15.42680W,200 NM from Baseline
32,40-25-32.55657N,65-42-33.03631W,200 NM from Baseline
33,40-24-45.16785N,65-42-50.88495W,200 NM from Baseline
34,40-23-57.83656N,65-43-09.03432W,200 NM from Baseline
35,40-23-10.55096N,65-43-27.42680W,200 NM from Baseline
36,40-22-23.31064N,65-43-46.05738W,200 NM from Baseline
37,40-21-36.11633N,65-44-04.92592W,200 NM from Baseline
38,40-20-48.96879N,65-44-24.03252W,200 NM from Baseline
39,40-20-01.87362N,65-44-43.39711W,200 NM from Baseline
40,40-19-14.83771N,65-45-03.04364W,200 NM from Baseline
41,40-18-27.85118N,65-45-22.92745W,200 NM from Baseline
42,40-17-40.91458N,65-45-43.04780W,200 NM from Baseline
43,40-16-54.02335N,65-46-03.38396W,200 NM from Baseline
44,40-16-07.18755N,65-46-23.97226W,200 NM from Baseline
45,40-15-20.41393N,65-46-44.83485W,200 NM from Baseline
46,40-14-33.69286N,65-47-05.93083W,200 NM from Baseline
47,40-13-47.02560N,65-47-27.26214W,200 NM from Baseline
48,40-13-00.40468N,65-47-48.79875W,200 NM from Baseline
49,40-12-13.84320N,65-48-10.58592W,200 NM from Baseline
50,40-11-27.34805N,65-48-32.64487W,200 NM from Baseline
51,40-10-40.90835N,65-48-54.93274W,200 NM from Baseline
52,40-09-54.52621N,65-49-17.45441W,200 NM from Baseline
53,40-09-08.19174N,65-49-40.17328W,200 NM from Baseline
54,40-08-21.91968N,65-50-03.13762W,200 NM from Baseline
55,40-07-35.71176N,65-50-26.34977W,200 NM from Baseline
56,40-06-49.56370N,65-50-49.79228W,200 NM from Baseline
57,40-06-03.47685N,65-51-13.46707W,200 NM from Baseline
58,40-05-17.45181N,65-51-37.37355W,200 NM from Baseline
59,40-04-31.48929N,65-52-01.51155W,200 NM from Baseline
60,40-03-45.60801N,65-52-25.93765W,200 NM from Baseline
61,40-02-59.76511N,65-52-50.51267W,200 NM from Baseline
62,40-02-13.95885N,65-53-15.23038W,200 NM from Baseline
63,40-01-28.23577N,65-53-40.23404W,200 NM from Baseline
64,40-00-42.57905N,65-54-05.46796W,200 NM from Baseline
65,39-59-56.98925N,65-54-30.93143W,200 NM from Baseline
66,39-59-11.46701N,65-54-56.62397W,200 NM from Baseline
