ATLASNUM,DATECH,DATE_,OBSERVER,OBSMODE,COUNTY,CONUM,LONGDM,LATDM,TOWNSHIP,RANGE,SECTION,GAZPAGE,ERA,NEW90,STATUS90,STATUS80,STATUS70,SUBSTRAT,CANOPY,LOCATION,ISLAND,SIZE_,SIZECONF,SPECCONF,BRPE,DCCO,ANHI,GBHE,GWHE,GREG,SNEG,LBHE,TCHE,REEG,CAEG,GRHE,BCNH,YCNH,WHIB,GLIB,ROSP,WOST,SMWT,LGWT,SMDK,LGDK,LONGDEC,LATDEC,LONGALB,LATALB,lon,lat
611124,05/05/1999,1999-05-05T04:00:00.000Z,JD,Aerial,Sumter,60,82 01.00,28 49.00,19S,23E,21,78,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.016667,28.816667,593202.81,536044.94,-82.01666701915966,28.816667023524996
611126,05/05/1999,1999-05-05T04:00:00.000Z,JD,Aerial,Citrus,09,82 16.00,28 47.00,20S,20E,01,77,80,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.266667,28.783333,568903.26,531976.47,-82.26666704624094,28.78333295464152
611127,03/16/1999,1999-03-16T04:00:00.000Z,JS,Aerial,Citrus,09,82 16.00,28 45.50,20S,20E,12,77,80,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.266667,28.758333,568942.29,529200.42,-82.26666696934629,28.75833297226212
611128,04/28/1999,1999-04-28T04:00:00.000Z,JS,Aerial,Citrus,09,82 16.00,28 45.00,20S,20E,13,77,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.266667,28.75,568955.29,528275.11,-82.26666703585333,28.75000003471452
611129,03/16/1999,1999-03-16T04:00:00.000Z,JS,Aerial,Sumter,60,82 06.00,28 44.00,20S,22E,22,78,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.1,28.733333,585228.32,526663.73,-82.09999999716761,28.73333300766292
611130,04/28/1999,1999-04-28T04:00:00.000Z,JS,Aerial,Sumter,60,82 07.00,28 43.00,20S,22E,28,78,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.116667,28.716667,583631.87,524788.2,-82.11666698789323,28.716667021234397
611132,04/27/1999,1999-04-27T04:00:00.000Z,JD,Aerial,Sumter,60,82 08.00,28 39.00,21S,22E,20,78,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.133333,28.65,582119.07,517360.68,-82.13333295875549,28.649999998585454
611133,04/27/1999,1999-04-27T04:00:00.000Z,JD,Aerial,Sumter,60,82 08.00,28 38.00,21S,22E,29,78,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.133333,28.633333,582147.08,515509.94,-82.13333305300843,28.633332984089158
611134,04/27/1999,1999-04-27T04:00:00.000Z,JD,Aerial,Hernando,27,82 26.00,28 35.00,22S,19E,08,77,80,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.433333,28.583333,552945.72,509550.11,-82.43333300475564,28.58333302884242
611135,04/27/1999,1999-04-27T04:00:00.000Z,JD,Aerial,Sumter,60,82 02.00,28 33.00,22S,23E,29,78,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.033333,28.55,592051.75,506408.2,-82.03333295233845,28.549999957478146
611136,04/27/1999,1999-04-27T04:00:00.000Z,JD,Aerial,Hernando,27,82 34.30,28 32.00,22S,17E,35,77,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.571667,28.533333,539505.83,503833.69,-82.57166694742928,28.533332972045645
611137,04/27/1999,1999-04-27T04:00:00.000Z,JD,Aerial,Hernando,27,82 06.00,28 31.00,23S,22E,03,78,80,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.1,28.516667,585599.04,502604.75,-82.10000003479063,28.51666699894475
611138,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Hernando,27,82 20.00,28 29.50,23S,20E,17,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.333333,28.491667,562845.22,499498.97,-82.33333300307214,28.491666945527463
611139,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Sumter,60,82 00.00,28 29.00,23S,23E,15,84,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,28.483333,595426.62,499057.76,-81.99999997175455,28.483332993439802
611140,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Hernando,27,82 18.00,28 29.00,23S,20E,15,83,80,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.3,28.483333,566114.65,498617.98,-82.29999996805478,28.48333299862982
611142,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Pasco,51,82 03.70,28 26.20,23S,22E,36,84,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.061667,28.436667,589482.89,493779.62,-82.06166704350069,28.4366670140622
611143,05/20/1999,1999-05-20T04:00:00.000Z,RF,Aerial,Pasco,51,82 33.10,28 21.10,24S,17E,36,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.551667,28.351667,541696.1,483682.69,-82.55166697569182,28.35166702540894
611145,05/20/1999,1999-05-20T04:00:00.000Z,RF,Aerial,Pasco,51,82 26.00,28 21.00,24S,19E,32,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.433333,28.35,553274.93,483639.1,-82.43333298613621,28.350000020351008
611146,05/20/1999,1999-05-20T04:00:00.000Z,RF,Aerial,Pasco,51,82 26.00,28 20.00,25S,19E,05,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.433333,28.333333,553298.44,481788.26,-82.43333305320081,28.333332965517346
611147,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Hillsborough,29,82 16.00,28 02.50,28S,20E,13,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.266667,28.041667,570060.98,449618.25,-82.26666704669266,28.04166699051646
611148,05/20/1999,1999-05-20T04:00:00.000Z,RF,Aerial,Pasco,51,82 19.00,28 19.00,25S,20E,16,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.316667,28.316667,564738.8,480087.99,-82.3166669814279,28.316666945011296
611149,05/20/1999,1999-05-20T04:00:00.000Z,RF,Aerial,Pasco,51,82 18.50,28 19.70,25S,20E,09,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.308333,28.328333,565536.58,481394.62,-82.30833298381357,28.328332959103875
611151,05/20/1999,1999-05-20T04:00:00.000Z,RF,Aerial,Polk,53,82 01.00,28 19.00,25S,23E,16,84,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.016667,28.316667,594095.85,480524.48,-82.01666703926531,28.316666969805762
611152,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Pasco,51,82 26.50,28 14.00,26S,19E,07,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.441667,28.233333,552623.35,470673.13,-82.44166694206811,28.23333299105304
611153,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Pasco,51,82 24.00,28 14.00,26S,19E,10,83,80,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.4,28.233333,556703.99,470725.39,-82.39999999931501,28.23333298409469
611154,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Pasco,51,82 26.00,28 12.50,26S,19E,20,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.433333,28.208333,553474.81,467907.28,-82.43333295895589,28.208333013019864
611155,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Pasco,51,82 37.00,28 12.00,26S,17E,29,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.616667,28.2,535526.11,466767.08,-82.6166670192624,28.2000000324602
611157,05/18/1999,1999-05-18T04:00:00.000Z,KB,Aerial,Hillsborough,29,82 09.00,28 09.50,27S,22E,06,84,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.15,28.158333,581312.23,462739.58,-82.14999999296727,28.158332946042403
611158,05/18/1999,1999-05-18T04:00:00.000Z,KB,Aerial,Hillsborough,29,82 09.00,28 10.00,27S,22E,06,84,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.15,28.166667,581298.34,463665.03,-82.1500000400501,28.16666702667572
611160,05/18/1999,1999-05-18T04:00:00.000Z,KB,Aerial,Hillsborough,29,82 39.00,28 08.00,27S,17E,18,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.65,28.133333,532341.64,459327.52,-82.64999998897119,28.13333301236267
