ATLASNUM,DATECH,DATE_,OBSERVER,OBSMODE,COUNTY,CONUM,LONGDM,LATDM,TOWNSHIP,RANGE,SECTION,GAZPAGE,ERA,NEW90,STATUS90,STATUS80,STATUS70,SUBSTRAT,CANOPY,LOCATION,ISLAND,SIZE_,SIZECONF,SPECCONF,BRPE,DCCO,ANHI,GBHE,GWHE,GREG,SNEG,LBHE,TCHE,REEG,CAEG,GRHE,BCNH,YCNH,WHIB,GLIB,ROSP,WOST,SMWT,LGWT,SMDK,LGDK,LONGDEC,LATDEC,LONGALB,LATALB,lon,lat
611161,05/18/1999,1999-05-18T04:00:00.000Z,KB,Aerial,Hillsborough,29,82 31.00,28 08.00,27S,18E,16,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.516667,28.133333,545411.78,459477.68,-82.516667039782,28.133333029023923
611162,05/18/1999,1999-05-18T04:00:00.000Z,KB,Aerial,Hillsborough,29,82 30.00,28 08.00,27S,18E,15,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.5,28.133333,547045.58,459497.44,-82.4999999687622,28.133332983691638
611164,05/18/1999,1999-05-18T04:00:00.000Z,KB,Aerial,Hillsborough,29,82 21.00,28 08.00,27S,20E,18,83,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.35,28.133333,561749.3,459685.25,-82.34999996408855,28.13333298671555
611168,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Hillsborough,29,82 27.00,28 05.00,28S,19E,06,83,80,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.45,28.083333,552016.64,454005.68,-82.44999997139377,28.083332988137027
611170,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Hillsborough,29,82 06.00,28 00.00,28S,22E,34,84,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.1,28,586483.09,445232.34,-82.10000004099491,27.999999958460286
611171,03/23/1999,1999-03-23T04:00:00.000Z,JD,Aerial,Pinellas,52,82 47.00,28 05.00,28S,15E,03,82,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.783333,28.083333,519326.13,453638.95,-82.78333296029423,28.083333025511184
611172,03/23/1999,1999-03-23T04:00:00.000Z,JD,Aerial,Citrus,09,82 49.00,28 58.00,17S,15E,Key,76,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.816667,28.966667,515115.61,551701.16,-82.8166669935396,28.966666964251665
611173,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Pinellas,52,82 47.00,28 03.50,28S,15E,10,82,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82.783333,28.058333,519353.52,450862.68,-82.78333298736688,28.058332995987488
612003,03/31/1999,1999-03-31T04:00:00.000Z,RF,Aerial,Brevard,05,80 37.00,28 22.00,24S,37E,27,88,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.616667,28.366667,730925.12,489056.44,-80.6166669711887,28.36666702409393
612008,05/06/1999,1999-05-06T04:00:00.000Z,JS,Aerial,Volusia,64,80 54.00,28 54.00,18S,34E,57,81,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.9,28.9,701729.51,547538.25,-80.90000000100848,28.899999993437056
612010,03/16/1999,1999-03-16T04:00:00.000Z,JS,Aerial,Brevard,05,80 46.00,28 45.00,20S,35E,13,81,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.766667,28.75,715140.9,531219.42,-80.76666700390396,28.74999997954269
612011,04/14/1999,1999-04-14T04:00:00.000Z,JS,Aerial,Brevard,05,80 42.00,28 21.00,24S,36E,35,88,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.7,28.35,722825.78,486985.24,-80.70000002768104,28.350000019103174
612012,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Brevard,05,80 47.00,28 05.00,28S,35E,01,87,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.783333,28.083333,715447.95,457164.76,-80.78333297861937,28.08333300595614
612013,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Brevard,05,80 44.00,28 10.00,27S,36E,04,88,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.733333,28.166667,720105.01,466545.18,-80.73333300091161,28.166666978616142
612014,03/31/1999,1999-03-31T04:00:00.000Z,RF,Aerial,Brevard,05,80 40.00,28 18.00,25S,37E,19,88,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.666667,28.3,726235.91,481522.13,-80.66666698882364,28.300000029352923
612015,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Brevard,05,80 47.00,28 04.00,28S,35E,12,87,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.783333,28.066667,715496.22,455314.53,-80.78333303010463,28.066667005364366
612017,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Brevard,05,80 45.00,28 05.00,28S,36E,05,88,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.75,28.083333,718716.05,457250.47,-80.75000002450705,28.083333013709424
612018,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Brevard,05,80 51.00,28 12.00,26S,35E,29,87,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.85,28.2,708580.64,469948.38,-80.84999998523332,28.199999969152625
612019,05/06/1999,1999-05-06T04:00:00.000Z,JS,Aerial,Lake,35,81 51.00,28 54.00,18S,25E,30,79,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.85,28.9,609275.46,545569.88,-81.84999994546152,28.9000000027407
612020,05/05/1999,1999-05-05T04:00:00.000Z,JD,Aerial,Lake,35,81 46.00,28 48.00,19S,25E,36,79,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.766667,28.8,617587.12,534610.7,-81.76666698465326,28.799999976938874
612022,05/06/1999,1999-05-06T04:00:00.000Z,JS,Aerial,Lake,35,81 46.00,28 52.00,19S,25E,01,79,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.766667,28.866667,617453.04,542012.99,-81.76666700320685,28.866667017737388
612023,05/06/1999,1999-05-06T04:00:00.000Z,JS,Aerial,Lake,35,81 50.00,28 53.00,18S,25E,32,79,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.833333,28.883333,610930.13,543747.68,-81.83333300702218,28.883333019751927
612024,04/28/1999,1999-04-28T04:00:00.000Z,JS,Aerial,Lake,35,81 54.00,28 46.00,20S,24E,10,78,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.9,28.766667,604661.2,530681.27,-81.90000004329315,28.766666978004096
612027,05/06/1999,1999-05-06T04:00:00.000Z,JS,Aerial,Lake,35,81 42.00,28 55.00,18S,26E,15,79,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.7,28.916667,623839.91,547683.88,-81.69999999971056,28.916667002228312
612029,04/27/1999,1999-04-27T04:00:00.000Z,JD,Aerial,Lake,35,81 54.00,28 34.00,22S,24E,15,78,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.9,28.566667,605039.43,508473.59,-81.89999998616189,28.566666951580892
612030,04/27/1999,1999-04-27T04:00:00.000Z,JD,Aerial,Lake,35,81 46.00,28 37.00,21S,25E,36,79,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.766667,28.616667,617955.83,514254.19,-81.76666701447208,28.616667000083993
612031,05/06/1999,1999-05-06T04:00:00.000Z,JS,Aerial,Lake,35,81 41.00,28 54.00,18S,26E,26,79,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.683333,28.9,625496.55,545863.69,-81.6833330097056,28.899999982468252
612032,05/06/1999,1999-05-06T04:00:00.000Z,JS,Aerial,Lake,35,81 23.00,28 52.50,18S,29E,37,80,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.383333,28.875,654752.31,543672.15,-81.38333304156372,28.875000031017898
612033,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Lake,35,81 40.00,28 26.00,24S,26E,01,85,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.666667,28.433333,628099.14,494078.21,-81.66666700987723,28.433333005770912
612036,04/27/1999,1999-04-27T04:00:00.000Z,JD,Aerial,Orange,48,81 39.00,28 34.00,22S,27E,18,79,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.65,28.566667,629446.09,508914.02,-81.6499999751835,28.56666698752076
612038,05/19/1999,1999-05-19T04:00:00.000Z,RF,Aerial,Orange,48,81 08.00,28 26.00,24S,32E,05,86,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.133333,28.433333,680227.64,495177.47,-81.13333302136668,28.43333303813171
612039,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Osceola,49,81 07.00,28 12.00,26S,32E,28,87,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.116667,28.2,682462.36,469309.32,-81.11666697339491,28.2000000079667
612040,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Osceola,49,80 59.00,28 05.00,28S,33E,01,87,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.983333,28.083333,695838.65,456669.04,-80.98333299578758,28.083332946412163
612041,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Osceola,49,80 54.00,28 05.00,28S,34E,02,87,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.9,28.083333,704009.26,456871.73,-80.8999999487569,28.083333026518737
612042,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Osceola,49,81 06.00,28 14.00,26S,32E,10,87,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.1,28.233333,684007.77,473048.44,-81.10000003090694,28.233333013411773
612043,05/20/1999,1999-05-20T04:00:00.000Z,RF,Aerial,Osceola,49,81 34.00,28 17.00,25S,27E,25,85,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.566667,28.283333,638202.27,477611.87,-81.56666704097165,28.28333297371653
612044,05/19/1999,1999-05-19T04:00:00.000Z,KB,Aerial,Polk,53,81 54.00,28 16.00,25S,24E,34,84,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.9,28.266667,605606.78,475161.48,-81.8999999726042,28.266667020201073
612045,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Polk,53,81 39.00,28 02.00,28S,27E,19,85,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.65,28.033333,630574.77,449694.58,-81.64999997955314,28.033332974096936
612047,05/20/1999,1999-05-20T04:00:00.000Z,RF,Aerial,Polk,53,81 49.00,28 20.00,25S,25E,04,85,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.816667,28.333333,613633.83,482705.73,-81.81666698570928,28.33333295703227
612048,05/18/1999,1999-05-18T04:00:00.000Z,RF,Aerial,Polk,53,81 23.00,28 05.00,28S,29E,02,86,70,No,Inactive,Active,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.383333,28.083333,656617.77,455773.03,-81.3833329686783,28.083332973027424
612050,05/06/1999,1999-05-06T04:00:00.000Z,JS,Aerial,Volusia,64,80 55.00,28 56.00,18S,34E,54,81,70,No,Inactive,Inactive,Active,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.916667,28.933333,700015.07,551198.06,-80.91666699710272,28.933332968683718
612101,05/20/1999,1999-05-20T04:00:00.000Z,RF,Aerial,Sumter,60,81 59.50,28 23.50,24S,23E,15,84,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.991667,28.391667,596406.58,488892.24,-81.99166699180888,28.391667038917518
612103,05/05/1999,1999-05-05T04:00:00.000Z,JD,Aerial,Volusia,64,81 14.50,28 51.00,19S,31E,08,80,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.241667,28.85,668604.42,541197.14,-81.24166705891504,28.849999989277013
612104,05/19/1999,1999-05-19T04:00:00.000Z,RF,Aerial,Brevard,05,80 53.50,28 27.00,23S,34E,26,87,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.891667,28.45,703799.96,497600.18,-80.89166695034535,28.450000002478575
612105,05/06/1999,1999-05-06T04:00:00.000Z,JS,Aerial,Lake,35,81 34.00,28 54.00,18S,27E,25,79,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.566667,28.9,636850.99,546082.4,-81.5666669748552,28.899999980709797
612106,05/18/1999,1999-05-18T04:00:00.000Z,KB,Aerial,Polk,53,81 52.50,28 08.00,27S,24E,14,85,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.875,28.133333,608309.39,460397.97,-81.87500003898951,28.13333296389387
612107,05/20/1999,1999-05-20T04:00:00.000Z,RF,Aerial,Polk,53,81 56.00,28 19.00,25S,24E,08,84,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.933333,28.316667,602250.46,480658.4,-81.93333300662934,28.316666954971215
612108,05/11/1999,1999-05-11T04:00:00.000Z,JD,Aerial,Lake,35,81 28.00,28 57.00,18S,28E,01,80,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.466667,28.95,646469.19,551829.75,-81.4666669721329,28.949999974953982
612109,05/06/1999,1999-05-06T04:00:00.000Z,JS,Aerial,Lake,35,81 50.00,28 51.60,19S,25E,05,79,80,No,Inactive,Active,Unknown,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.833333,28.86,610975.66,541156.92,-81.8333329649856,28.86000001586865
