"Latitude","Longitude","WaterDepth","SampleTop","SampleBase","Site","DatasetKey","SiteKey","SampleKey","Sampler","DataType","qtz","fld","mica","claymin","glauc","hvy_min","maf","gbbro","baslt","andest","granit","ign_rck","schst","bluschst","slte","chrt","dolmt","limstn","mudstn","sndstn","phspht","trrg","carb","glacl","artif_F","spoil_F","wood","ool","pelag","frm","bnth_frm","plnk_frm","ptr","nan","calc_ooz","sil_ooz","ooz","diat","rad","anmne_F","crlrf","crl","crl_dbr","sol_crl","sftcrl_F","shl","shl_dbr","bryz","brach","echndrm_F","echnd","asterd_F","ophiurd_F","holoth","snd_dollr","crinod_F","mlsc","biv","gstrpd","rzr_clm","oyst","scllp","scphpd","spng_F","crustac","shrmp_F","crab","brncl","annld_F","srpul","wrm_F","wrm_tbe_F","bioturb_F","burw_F","pit_F","fces","motl_F","crnalg","halmda","klp_F","plnt_F","seagrs_F","sft_alg_F","peat","orgcbn","gas","odr","h2s","defrmn_F","flasr_bed_F","gradd_F","lamintd_F","lenticlr_bed_F","planr_bed_F","ripl","scour","wvy_bed_F","lmp_F","mudlmp_F","nod_F","SamplePhase"
+41.52000, -70.64200,11,0,0,"Anton Dohrn:-:-",1,9,7,"","SFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"surface_view:"
+39.35528, -73.06548,-99,0,0,"CH01-17:1:V",11,24375,12369,"Video","SFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"surface_view:"
+39.35746, -73.06712,62,0,.1,"CH01-17:1.1:G",11,24376,12370,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.35787, -73.06711,62,0,.1,"CH01-17:1.2:G",11,24377,12371,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.35378, -73.05916,58,0,.1,"CH01-17:2:G",11,24378,12372,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.35188, -73.05814,58,0,0,"CH01-17:2:V",11,24379,12373,"Video","SFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"surface_view:"
+39.34426, -73.04288,66,0,.1,"CH01-17:3:G",11,24380,12374,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.32874, -73.01472,74,0,-99,"CH01-17:5:C",11,24382,12376,"SlowCorer","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.32856, -73.01427,74,0,.1,"CH01-17:5:G",11,24383,12377,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.32163, -73.00264,74,0,.1,"CH01-17:6:G",11,24385,12379,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.32234, -73.00337,74,0,0,"CH01-17:6:V",11,24386,12380,"Video","SFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"surface_view:"
+39.31561, -72.99076,66,0,.1,"CH01-17:7:G",11,24387,12381,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.30498, -72.97129,63,0,.1,"CH01-17:9:G",11,24391,12385,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  5.7, 37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.30502, -72.97155,63,0,0,"CH01-17:9:V",11,24392,12386,"Video","SFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"surface_view:"
+39.30257, -72.96692,64,0,.1,"CH01-17:10:G",11,24393,12387,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.29939, -72.96223,65,0,.1,"CH01-17:11:G",11,24395,12389,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.29986, -72.96176,65,0,0,"CH01-17:11:V",11,24396,12390,"Video","SFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"surface_view:"
+39.28428, -72.93417,72,0,.1,"CH01-17:13:G",11,24400,12394,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.28428, -72.93417,72,0,.1,"CH01-17:13:G",11,24400,12395,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"beneath:"
+39.27268, -72.91409,74,0,-99,"CH01-17:14:C",11,24402,12397,"SlowCorer","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.27320, -72.91386,74,0,.1,"CH01-17:14:G",11,24403,12398,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.26868, -72.90504,76,0,.1,"CH01-17:15:G",11,24405,12400,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3.3, 19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.26796, -72.90533,76,0,0,"CH01-17:15:V",11,24406,12401,"Video","SFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"surface_view:"
+39.26131, -72.89922,76,0,0,"CH01-17:16:V",11,24408,12403,"Video","SFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"surface_view:"
+39.26072, -72.89039,-99,0,.1,"CH01-17:17:G",11,24409,12404,"SmithMcIntyreGrab","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
+39.26857, -72.87819,78,.03,.23,"CH01-17:18:C",11,24411,12408,"SlowCorer","LTH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at bottom:"
