"Latitude","Longitude","WaterDepth","SampleTop","SampleBase","Site","DatasetKey","SiteKey","SampleKey","Sampler","DataType","Terrigenous","Carbonate","Igneous","Volcanic","Metamorphic","Mineralized","AuthFeMn","Ooze","Carbon","GeochemSignal","Forams","OtherCalcPelag","SilcPelag","Shell","Coral","HardPlant","SamplePhase"
+41.52000, -70.64200,11,0,0,"Anton Dohrn:-:-",1,9,7,"","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 40,  0,  0,"surface_view  "
+39.35528, -73.06548,-99,0,0,"CH01-17:1:V",11,24375,12369,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.35746, -73.06712,62,0,.1,"CH01-17:1.1:G",11,24376,12370,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 22,  0,  0,"  "
+39.35787, -73.06711,62,0,.1,"CH01-17:1.2:G",11,24377,12371,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 39,  0,  0,"  "
+39.35378, -73.05916,58,0,.1,"CH01-17:2:G",11,24378,12372,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 39,  0,  0,"  "
+39.35188, -73.05814,58,0,0,"CH01-17:2:V",11,24379,12373,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.34426, -73.04288,66,0,.1,"CH01-17:3:G",11,24380,12374,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 23,  0,  0,"  "
+39.32874, -73.01472,74,0,-99,"CH01-17:5:C",11,24382,12376,"SlowCorer","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 49,  0,  0,"  "
+39.32856, -73.01427,74,0,.1,"CH01-17:5:G",11,24383,12377,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 43,  0,  0,"  "
+39.32163, -73.00264,74,0,.1,"CH01-17:6:G",11,24385,12379,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 39,  0,  0,"  "
+39.32234, -73.00337,74,0,0,"CH01-17:6:V",11,24386,12380,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.31561, -72.99076,66,0,.1,"CH01-17:7:G",11,24387,12381,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0,"  "
+39.30498, -72.97129,63,0,.1,"CH01-17:9:G",11,24391,12385,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 43,  0,  0,"  "
+39.30502, -72.97155,63,0,0,"CH01-17:9:V",11,24392,12386,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.30257, -72.96692,64,0,.1,"CH01-17:10:G",11,24393,12387,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 40,  0,  0,"  "
+39.29939, -72.96223,65,0,.1,"CH01-17:11:G",11,24395,12389,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 40,  0,  0,"  "
+39.29986, -72.96176,65,0,0,"CH01-17:11:V",11,24396,12390,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.28428, -72.93417,72,0,.1,"CH01-17:13:G",11,24400,12394,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 17,  0,  0,"  "
+39.28428, -72.93417,72,0,.1,"CH01-17:13:G",11,24400,12395,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,100,  0,  0,"beneath  "
+39.27268, -72.91409,74,0,-99,"CH01-17:14:C",11,24402,12397,"SlowCorer","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  9,  0,  0,"  "
+39.27320, -72.91386,74,0,.1,"CH01-17:14:G",11,24403,12398,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 13,  0,  0,"  "
+39.26868, -72.90504,76,0,.1,"CH01-17:15:G",11,24405,12400,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 22,  0,  0,"  "
+39.26796, -72.90533,76,0,0,"CH01-17:15:V",11,24406,12401,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.26131, -72.89922,76,0,0,"CH01-17:16:V",11,24408,12403,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.26072, -72.89039,-99,0,.1,"CH01-17:17:G",11,24409,12404,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  0,  0,"  "
+39.26857, -72.87819,78,.03,.23,"CH01-17:18:C",11,24411,12408,"SlowCorer","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,100,  0,  0,"at bottom  "
+39.26906, -72.87821,78,0,.1,"CH01-17:18:G",11,24412,12409,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 10,  0,  0,"  "
+39.26835, -72.87130,80,0,.1,"CH01-17:19:G",11,24414,12411,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 43,  0,  0,"  "
+39.25253, -72.87738,79,0,-99,"CH01-17:20:C",11,24416,12413,"SlowCorer","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0,"  "
+39.25310, -72.87709,79,0,.1,"CH01-17:20:G",11,24417,12414,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0,"  "
+39.25223, -72.87780,80,0,0,"CH01-17:20:V",11,24418,12415,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.25250, -72.86675,81,0,-99,"CH01-17:21:C",11,24419,12416,"SlowCorer","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 23,  0,  0,"0 to 0.12m of core m recovy  "
+39.25250, -72.86675,81,0,-99,"CH01-17:21:C",11,24419,12417,"SlowCorer","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,100,  0,  0,"at bottom  "
+39.25195, -72.86695,82,0,.1,"CH01-17:21:G",11,24420,12418,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 19,  0,  0,"  "
+39.27820, -72.80180,84,0,.1,"CH01-17:22:G",11,24422,12420,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 46,  0,  0,"  "
+39.27832, -72.80103,84,0,0,"CH01-17:22:V",11,24423,12421,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.26879, -72.80710,-99,0,.1,"CH01-17:23:G",11,24424,12422,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 26,  0,  0,"  "
+39.25166, -72.82910,83,0,0,"CH01-17:24:V",11,24427,12426,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.23430, -72.84338,85,0,.1,"CH01-17:26:G",11,24428,12427,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 44,  0,  0,"  "
+39.22202, -72.82398,86,0,.1,"CH01-17:27:G",11,24430,12429,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  0,  0,"  "
+39.23865, -72.78638,84,0,.1,"CH01-17:28:G",11,24431,12430,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  0,  0,"  "
+39.21053, -72.80197,91,0,.1,"CH01-17:29:G",11,24433,12432,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,"  "
+39.19547, -72.77320,102,0,.1,"CH01-17:30:G",11,24435,12434,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  6,  0,  0,"  "
+39.20313, -72.75375,120,0,.1,"CH01-17:31:G",11,24437,12437,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 21,  0,  0,"  "
+39.17988, -72.74675,-99,0,.1,"CH01-17:32:G",11,24439,12439,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 28,  0,  0,"  "
+39.16352, -72.71670,129,0,.1,"CH01-17:33:G",11,24442,12443,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 28,  0,  0,"  "
+39.00308, -72.84603,121,0,.1,"CH01-17:34:G",11,24444,12444,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4,  0,  0,"  "
+39.02452, -72.88406,99,0,.1,"CH01-17:36:G",11,24447,12447,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 13,  0,  0,"  "
+39.02476, -72.88444,98,0,0,"CH01-17:36:V",11,24448,12448,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.03753, -72.90886,88,0,.1,"CH01-17:37:G",11,24449,12449,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  9,  0,  0,"  "
+39.04548, -72.92219,84,0,0,"CH01-17:39:V",11,24452,12452,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.05304, -72.93636,85,0,.1,"CH01-17:40:G",11,24453,12453,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  9,  0,  0,"  "
+39.05577, -72.94022,84,0,.1,"CH01-17:41:G",11,24455,12455,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 48,  0,  0,"  "
+39.05565, -72.94091,84,0,0,"CH01-17:41:V",11,24456,12456,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.05885, -72.94737,85,0,.1,"CH01-17:42:G",11,24458,12459,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  9,  0,  0,"  "
+39.06159, -72.95493,86,0,.1,"CH01-17:43:G",11,24460,12461,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  0,  0,"  "
+39.06251, -72.95426,86,0,0,"CH01-17:43:V",11,24461,12463,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.06808, -72.96296,94,0,-99,"CH01-17:44:C",11,24462,12464,"SlowCorer","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  0,  0,"0 to small sample in bottom of core m recovy  "
+39.06724, -72.96344,94,0,.1,"CH01-17:44:G",11,24463,12466,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  0,  0,"on top  "
+39.07635, -72.97994,84,0,.1,"CH01-17:47:G",11,24469,12474,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 31,  0,  0,"  "
+39.09066, -73.00513,81,0,.1,"CH01-17:48:G",11,24471,12475,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 43,  0,  0,"  "
+39.09344, -73.00933,80,0,.1,"CH01-17:49:G",11,24473,12478,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 53,  0,  0,"  "
+39.09523, -73.01409,80,0,.1,"CH01-17:50:G",11,24475,12480,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 43,  0,  0,"  "
+39.09733, -73.01793,80,0,.1,"CH01-17:51:G",11,24477,12482,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 21,  0,  0,"  "
+39.09828, -73.01759,80,0,0,"CH01-17:51:V",11,24478,12483,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.10091, -73.02328,80,0,.1,"CH01-17:52:G",11,24479,12484,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 40,  0,  0,"  "
+39.10555, -73.03338,77,0,.1,"CH01-17:54:G",11,24481,12486,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 43,  0,  0,"  "
+39.10590, -73.03230,77,0,0,"CH01-17:54:V",11,24482,12487,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.10637, -73.03366,76,0,.1,"CH01-17:55:G",11,24483,12488,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 43,  0,  0,"  "
+39.14527, -73.10664,72,0,.1,"CH01-17:63:G",11,24485,12490,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 47,  0,  0,"  "
+39.14711, -73.11005,72,0,.1,"CH01-17:64:G",11,24487,12492,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 22,  0,  0,"  "
+39.14702, -73.10948,72,0,0,"CH01-17:64:V",11,24488,12493,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 30,  0,  0,"surface_view  "
+39.11710, -73.12977,72,0,0,"CH01-17:65:V",11,24489,12494,"Video","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 28,  0,  0,"surface_view  "
+39.11696, -73.12915,72,0,.1,"CH01-17:65.1:G",11,24490,12495,"SmithMcIntyreGrab","",  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  3,  0,  0,"  "
